Invoice #,Qty,Item,Description,Warr,Net,Ext Price,Shop Supplies
IN001770,1,IPRO,"PROVINCIAL INSPECTION OUT OF PROVINCE INSPECTION ONLY ISSUE IS POWER STEERING PUMP LEAKING INSPECTION REPORT IS VALID FOR 30 DAYS",,180.00,180.00,N
IN001770,1,SSSE,"STEERING & SUSPENSION SERVICE",Declined,Declined,,N
IN001770,1,841590,"POWER STEERING PUMP",Declined,Declined,,N
IN001770,1,DECAL,"SGI INSPECTION DECAL",Declined,Declined,,N
IN001770,1,SS,"SHOP SUPPLIES",,20.00,20.00,Y
IN001772,1,DISE,"DIAGNOSTICS SERVICE",,112.00,112.00,N
IN001772,,LAB,"SERVICE/MECHANICAL LABOUR - REPLACE FUEL TANK AND REPAIR FUEL LINE",,280.00,280.00,N
IN001772,1,F84A,"FUEL TANK",,1459.99,1459.99,N
IN001772,1,MGC832,"GAS CAP",,20.83,20.83,N
IN001772,1,800-063,"FUEL LINE RECAP",,77.46,77.46,N
IN001772,1,EXSY,"EXHAUST SYSTEM SERVICE - EXHAUST LEAK WELD EXHAUST AND REPAIR STUD @ MANIFOLD TO CAT",,112.00,112.00,N
IN001772,1,VSSE,"VISION & SAFETY SERVICE - CLEAN AND INSTALL DRIVER SIDE WINDOW",,N/C,N/C,N
IN001772,1,SA555060,"WINDOW",,N/C,N/C,N
IN001772,1,SS,"SHOP SUPPLIES",,50.00,50.00,Y
IN001776,1,ELSE,"ELECTRICAL SERVICE - INSTALL FAN CONTROLLER",,280.00,280.00,N
IN001776,1,LAB,"SERVICE/MECHANICAL LABOUR - REPLACE WINDSHIELD FLUID SUPPLIED RESERVOIR AND STRUT BAR",,98.00,98.00,N
IN001776,1,OWVE,"WASH VEHICLE - CLEAN ENGINE BAY",,30.00,30.00,N
IN001776,1,F,"FREIGHT",,20.00,20.00,N
IN001776,1,SS,"SHOP SUPPLIES",,30.00,30.00,Y
IN001773,1,TMBA,"OEM TIRE MOUNT & BALANCE",,99.00,99.00,N
IN001773,1,SS,"SHOP SUPPLIES",,20.00,20.00,Y
IN001771,1,SSSE,"STEERING & SUSPENSION SERVICE",,280.00,280.00,N
IN001771,1,841590,"POWER STEERING PUMP",,372.22,372.22,N
IN001771,1,0288789,"MULTI ATF",,29.38,29.38,N
IN001771,1,DECAL,"SGI INSPECTION DECAL",,20.00,20.00,N
IN001771,1,SS,"SHOP SUPPLIES",,25.00,25.00,Y
